brand,material_raw,price_current,price_mrp,product_id,rating,review_count,title
Satrani,,1059.0,7139.0,B0BVMJFFNY,,3.8,298.0,tabby silk banarasi jacquard saree with unstitched blouse piece
VJ Fashion,,369.0,1199.0,B0DM1VV465,,3.8,371.0,women kerala silk blend saree with blouse piece_freesize
Generic,,999.0,1599.0,B0GD7Y2HHH,,,,"chanderi silk hand batik printed bhagalpuri saree with running blouse, deep red colour"
SHRISTI CLOTHINGS,,1599.0,2999.0,B0G949JGXT,,,,hand embroiderd kantha work chanderi silk saree with blouse piece
Avantika Fashion,,879.0,2499.0,B0DSG8H87P,,3.9,107.0,kanjivaram style soft silk banarasi sarees with blouse piece
JANOI,,799.0,1799.0,B0G1BSQBH8,,,,chanderi silk beautiful lace with tassels saree with blouse piece
Fratona,,849.0,4499.0,B0F9WY2DYZ,,4.1,79.0,kanjivaram soft silk banarasi saree with blouse piece | banarasi sari | saree with blosepiece
Apaapi threads of glory,,2999.0,5000.0,B0D3B129ZN,,,,purple tie and dye pure silk chanderi zari saree with unstitched blouse piece
Fratona,,599.0,4499.0,B0FN84MR2Q,,,,kanjivaram soft lichi silk saree beautiful jacquard rich pallu design work zari with blouse piece
Monjolika Fashion,,799.0,4999.0,B0983KYN29,,3.9,395.0,banarasi silk saree with blouse piece.
TEEJH,,2629.0,15999.0,B0CC5SX4YN,,5.0,1.0,spiced beige block print chanderi cotton saree with blouse piece
Mehrang,,1299.0,3999.0,B0DF5896WQ,,4.1,254.0,pure kanjivaram silk saree banarasi silk wedding sarees with blouse piece
GHAN SALS,,1299.0,3249.0,B0FBGLM62S,,,,double shade chanderi silk fancy saree with unstitched blouse
Pandadi Saree,,2649.0,8899.0,B0GDF6S45Y,,,,"soft chanderi cotton saree with zari woven pattu border, bagru double batik hand block print, cotton tassels on pallu, and matching chanderi hand block printed blouse piece"
SWORNOF,,949.0,4999.0,B0C62DX2G9,,4.1,11.0,kanjivaram banarasi silk saree patola saree with unstitched blouse piece
