brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
SHISHKALA,,999,4999,B0FN4PMQZY,https://www.amazon.in/SHISHKALA-Designer-Embroidered-Sharara-Traditional/dp/B0FN4PMQZY/ref=sr_1_33,4.6,,Women’s Designer Heavy Embroidered Sharara Suit Set with Dupatta | Indian Traditional Party Kurta Palazzo Ethnic Dress for Wedding & Festive Season
Generic,Georgette,2349,4699,B0FTT53DYG,https://www.amazon.in/FASHION-FABRICS-Chiffon-Stitched-SF201489/dp/B0FTT53DYG/ref=sr_1_34,3,,NIDHI FASHION FABRICS Women's Georgette Ethnic Wear for Women Stitched Palazzo Salwar Suit SF201-ver-4 Diwali Outfit Bridal Orange Colour Indian Casual Wear Salwar Suit IN Eid
SHISHKALA,Georgette,999,2500,B0G448QKD4,https://www.amazon.in/SHISHKALA-Georgette-Sharara-Embroidered-Dupatta/dp/B0G448QKD4/ref=sr_1_35,4.3,,"Women’s Royal Blue Georgette Sharara Suit Set with Heavy Embroidered Kurta, Dupatta & Palazzo | Festive, Wedding & Party Indian Ethnic Outfit"
Royal Export,Cotton,769,4999,B0F7LWCNNQ,https://www.amazon.in/Royal-Export-Embroidered-Anarkali-Chikankari/dp/B0F7LWCNNQ/ref=sr_1_36,3.7,,Women's Paisley Embroidered Cotton Kurta Set | sharara set for women |Anarkali Chikankari Gown with Dupatta | Dresses for Girls
SHISHKALA,,1650,4999,B0GCHWH4HS,https://www.amazon.in/SHISHKALA-Embroidered-Sharara-Dupatta-Traditional/dp/B0GCHWH4HS/ref=sr_1_37,3,,Women’s Embroidered Kurta Sharara Set with Dupatta | Festive Ethnic Wear Suit Set for Women | Full Sleeve Round Neck Traditional Outfit
MOKOSH,Silk,1329,4199,B0G2S8KR8Y,https://www.amazon.in/MOKOSH-Embroidered-Sharara-Dupatta-Wedding/dp/B0G2S8KR8Y/ref=sr_1_38,4.5,,Women's Silk Embroidered Peplum Sharara Set with Dupatta | Ethnic Suit Sharara Set for Haldi and Wedding
Miss Ethnik,,2499,7799,B0DKTM5HT4,https://www.amazon.in/Miss-Ethnik-Stitched-Embroidered-ME-1204-Teal-Large/dp/B0DKTM5HT4/ref=sr_1_39,2.7,,Women's Teal Chinon Stitched Top With Chinon Dupatta Full Sleeve Embroidered Straight Top (ME-1204)
Miss Ethnik,,2239,7199,B0F9DTGMT6,https://www.amazon.in/Miss-Ethnik-Stitched-Embroidered-ME-1245-Purple-3XL/dp/B0F9DTGMT6/ref=sr_1_40,3.9,,Women's Purple Chinon Stitched Top With Bottom and Dupatta 3/4 Sleeve Embroidered Kurta Palazzo Set (ME-1245)
Harivar,,2389,2999,B0GFFY3PZF,https://www.amazon.in/Embroidered-Sharara-Dupatta-Sleeves-Elegant/dp/B0GFFY3PZF/ref=sr_1_41,,,Women Embroidered Sharara Dupatta Set Sky Blue Fandy Fabric Kurta Sharara Set with 3/4 Sleeves Elegant Ethnic Wear for Women
GRECIILOOKS,,799,1999,B0GCF2CCCD,https://www.amazon.in/GRECIILOOKS-Printed-Sharara-Traditional-Palazzo/dp/B0GCF2CCCD/ref=sr_1_42,5,,Women Printed Kurti Set with Sharara Pants | Ethnic Kurta Set for Women | Party Outfit Traditional Dress for Woman | Flared Palazzo Kurti Set
VredeVogel,Silk,1320,5999,B0D46F95ZK,https://www.amazon.in/VredeVogel-Womens-Organza-Dupatta-Mustard_Medium/dp/B0D46F95ZK/ref=sr_1_43,4,,Women's Viscos Roman Silk Kurta Pant Set with Organza Dupatta
Miss Ethnik,,2499,8199,B0CJNVW7DZ,https://www.amazon.in/Miss-Ethnik-PurpleStrip-Embroidered-ME-1129-Purple-L/dp/B0CJNVW7DZ/ref=sr_1_44,3.6,,Dual Tone Strip Chinon Heavy Embroidered Stitched Sharara Suit Set With Dupatta (ME-1129)
KLOSIA,,969,4999,B0BZRW6QKX,https://www.amazon.in/KLOSIA-Croset-Embroidered-Printed-Sharara/dp/B0BZRW6QKX/ref=sr_1_45,3.9,,Women Croset Embroidered Printed Kurta and Sharara Set with Dupatta
Xomantic Fashion,,1219,2499,B0CHPJ5JMK,https://www.amazon.in/Xomantic-Fashion-Embroidery-Dupatta-X-Large/dp/B0CHPJ5JMK/ref=sr_1_46,4.1,,Women's Ethnic Wear Nyra Cut Embroidery Kurti plazzo and Dupatta set
MOKOSH,Silk,1398,4199,B0G2S7DVC6,https://www.amazon.in/MOKOSH-Embroidered-Sharara-Dupatta-Wedding/dp/B0G2S7DVC6/ref=sr_1_47,4.5,,Women's Silk Embroidered Peplum Sharara Set with Dupatta | Ethnic Suit Sharara Set for Haldi and Wedding
SHISHKALA,,999,4999,B0GGJ246B8,https://www.amazon.in/SHISHKALA-Sharara-Embroidered-Traditional-Standard/dp/B0GGJ246B8/ref=sr_1_48,5,,Women’s Pink Ethnic Kurta Sharara Set with Dupatta | Elegant Embroidered Traditional Indian Outfit for Festive & Party
Libas,,2358,8599,B0F31CDM3Y,https://www.amazon.in/sspa/click,4,,Women Kurta Sets
